,Accuracy,Precision,Recall,F1-score,Execution Time
Decision Tree,0.9800811824936428,0.9743995793858804,0.9800811824936428,0.9754792187432471,2.70s
KNN (K=5),0.9772359594674176,0.9710068822964382,0.9772359594674176,0.9733581775225194,train=3.18s / predict=359.55s
